# complete.txt
# list of locales that can be shipped
#   po-file name (long-locale),
#   english name (no spaces)
#   descriptive name (to end of line)
#
cs_CZ czech čeština
de_DE german Deutsch
en_GB english/gb English (GB)
en_US english/us English (US)
es_ES spanish Español
fi_FI finnish Suomi
fr_FR french Français
hu_HU hungarian magyar‬
it_IT italian Italiano
ja_JP japanese 日本語
ko_KR korean 한국어‬
nl_BE dutch Nederlands
nn_NO norwegian norsk
pl_PL polish Polski
pt_PT portuguese Português
ru_RU russian Русский‬
sv_SE swedish Svenska‬
uk_UA ukranian Українська‬
zh_CN chinese/cn 简体中文‬
zh_TW chinese/tw 繁體中文‬
